Datum;Buchungstext;Betrag;Saldo;Valuta
24.07.23;Addebito TWINT SBB EasyRide 0400001501694176;-6.10;114863.38;24.07.23
24.07.23;Pagamento stipendio Cembra Money Bank AG;6957.00;114869.48;24.07.23
24.07.23;Eft-Pos - blue Cinema abaton ZH, Zurich - 20.07.2023 19:51 - N. di carta xxxxxxxxxxxx4476 - 8.20 CHF;-8.20;107912.48;20.07.23
21.07.23;Addebito TWINT SBB EasyRide 0400001496247113;-6.40;107920.68;21.07.23
21.07.23;Eft-Pos - BRISKET ZUERICH, ZUERICH - 19.07.2023 21:26 - N. di carta xxxxxxxxxxxx4476 - 110.50 CHF;-110.50;107927.08;19.07.23
20.07.23;Dauerauftrag;-1090.00;108037.58;20.07.23
20.07.23;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 18.07.2023 12:06 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;109127.58;18.07.23
19.07.23;Addebito TWINT SBB EasyRide 0400001492222976;-6.10;109136.08;19.07.23
19.07.23;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 17.07.2023 12:59 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;109142.18;17.07.23
18.07.23;Addebito TWINT SBB EasyRide 0400001490286029;-6.10;109150.68;18.07.23
18.07.23;Eft-Pos - LANDI Regensdorf Genosse, Adlikon B.Reg - 15.07.2023 15:46 - N. di carta xxxxxxxxxxxx4476 - 40.90 CHF;-40.90;109156.78;15.07.23
18.07.23;Eft-Pos - Migros MM Regensdorf, Regensdorf - 15.07.2023 19:30 - N. di carta xxxxxxxxxxxx4476 - 13.70 CHF;-13.70;109197.68;15.07.23
18.07.23;Eft-Pos - Coop-5079 ZH Oerlikon Bh, Zurich - 14.07.2023 21:56 - N. di carta xxxxxxxxxxxx4476 - 1.15 CHF;-1.15;109211.38;14.07.23
17.07.23;Addebito TWINT SBB EasyRide 0400001486962133;-6.10;109212.53;16.07.23
14.07.23;Belastung LSV;-7.16;109218.63;14.07.23
14.07.23;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 12.07.2023 12:48 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;109225.79;12.07.23
13.07.23;Addebito TWINT SBB EasyRide 0400001480311558;-4.40;109234.29;13.07.23
